ts,oid,trader,side,type,price,qty
0.000000,1,seed,buy,limit,99.95,100
0.000000,2,seed,sell,limit,100.05,100
0.000000,3,N6,sell,limit,100.16,71
0.000000,4,N10,buy,market,,77
0.000000,5,MM,buy,limit,99.94,80
0.000000,6,MM,sell,limit,100.04,80
0.100000,7,N6,sell,market,,47
0.100000,8,N7,sell,limit,100.06,51
0.600000,9,N8,sell,market,,16
0.900000,10,N0,buy,market,,34
1.300000,11,N0,buy,market,,13
1.300000,12,N3,buy,market,,59
1.300000,13,N8,buy,limit,100.03,97
1.400000,14,N9,sell,limit,100.10,69
1.500000,8,N7,sell,cancel,100.06,48
1.500000,15,N7,sell,limit,100.83,19
1.500000,16,CA,sell,market,,81
1.600000,17,N3,sell,limit,100.09,94
1.700000,18,N0,buy,limit,100.05,76
1.700000,17,N3,sell,cancel,100.09,94
1.700000,19,N3,buy,limit,100.03,95
1.700000,20,N11,buy,market,,49
2.200000,21,N7,buy,limit,100.09,62
2.300000,22,N10,buy,limit,100.12,69
2.700000,23,N14,buy,limit,99.97,77
3.000000,18,N0,buy,cancel,100.05,76
3.000000,24,N0,buy,limit,99.93,43
3.000000,25,N5,buy,market,,88
3.000000,5,MM,buy,cancel,99.94,80
3.000000,26,MM,buy,limit,100.07,80
3.000000,27,MM,sell,limit,100.17,80
3.200000,28,N12,sell,market,,55
3.400000,29,N1,buy,limit,99.90,68
3.400000,30,N10,buy,limit,99.68,54
3.400000,23,N14,buy,cancel,99.97,77
3.400000,31,N14,buy,limit,99.80,19
3.500000,32,N11,sell,market,,59
3.500000,33,CA,buy,market,,36
3.600000,34,N9,sell,limit,100.29,45
3.700000,35,N6,buy,limit,100.05,77
4.000000,34,N9,sell,cancel,100.29,45
4.000000,36,N9,sell,limit,100.25,25
4.400000,37,N13,buy,limit,100.05,90
4.600000,38,N5,sell,market,,40
4.600000,39,N12,buy,limit,100.10,11
4.800000,40,N7,sell,limit,100.20,54
4.800000,41,N11,buy,limit,100.14,79
4.900000,42,N0,sell,limit,100.22,61
4.900000,40,N7,sell,cancel,100.20,54
4.900000,43,N7,sell,market,,68
5.000000,42,N0,sell,cancel,100.22,61
5.000000,44,N0,sell,limit,100.20,32
5.000000,35,N6,buy,cancel,100.05,77
5.000000,45,N6,buy,market,,79
5.300000,46,N7,sell,market,,38
5.400000,47,N3,sell,limit,100.26,41
5.400000,48,N6,sell,market,,66
5.500000,49,N11,buy,limit,100.08,35
5.600000,29,N1,buy,cancel,99.90,68
5.600000,50,N1,sell,market,,67
5.600000,51,N4,sell,market,,35
5.600000,52,N10,buy,limit,100.11,74
5.800000,53,N3,buy,limit,100.23,70
5.800000,15,N7,sell,cancel,100.83,2
5.800000,54,N7,buy,limit,99.81,12
6.000000,55,N0,buy,limit,100.04,38
6.000000,56,N7,buy,limit,100.00,47
6.000000,57,MM,buy,limit,100.18,80
6.000000,58,MM,sell,limit,100.28,80
6.400000,59,N1,buy,limit,100.22,15
6.500000,59,N1,buy,cancel,100.22,15
6.500000,60,N1,buy,limit,99.98,34
6.600000,61,N14,sell,limit,100.31,16
6.700000,53,N3,buy,cancel,100.23,70
6.700000,62,N3,buy,limit,99.97,87
6.700000,63,N5,buy,limit,100.19,51
6.700000,64,N6,sell,market,,23
6.800000,56,N7,buy,cancel,100.00,47
6.800000,65,N7,buy,limit,100.16,15
7.100000,66,N3,buy,market,,33
7.500000,60,N1,buy,cancel,99.98,34
7.500000,67,N1,buy,limit,100.05,78
7.500000,68,N9,buy,limit,100.11,70
7.800000,69,N4,sell,limit,100.37,67
7.800000,70,N6,sell,limit,100.40,11
7.800000,65,N7,buy,cancel,100.16,15
7.800000,71,N7,buy,market,,63
7.900000,72,N7,sell,market,,57
7.900000,73,N12,buy,limit,100.28,76
8.100000,74,N13,sell,limit,100.41,11
8.200000,75,N8,sell,limit,100.38,14
8.400000,76,N1,buy,limit,100.32,76
8.700000,74,N13,sell,cancel,100.41,11
8.700000,77,N13,sell,limit,100.37,61
8.700000,31,N14,buy,cancel,99.80,19
8.700000,78,N14,buy,limit,100.30,87
8.800000,79,N8,sell,market,,55
8.900000,55,N0,buy,cancel,100.04,38
8.900000,80,N0,sell,limit,100.35,66
9.000000,24,N0,buy,cancel,99.93,43
9.000000,81,N0,sell,limit,100.38,35
9.000000,57,MM,buy,cancel,100.18,51
9.000000,82,MM,buy,limit,100.27,80
9.000000,83,MM,sell,limit,100.37,80
9.100000,84,N5,buy,limit,100.11,18
9.200000,85,N2,sell,limit,100.47,80
9.200000,52,N10,buy,cancel,100.11,74
9.200000,86,N10,buy,market,,15
9.500000,76,N1,buy,cancel,100.32,5
9.500000,87,N1,buy,market,,21
9.500000,88,N6,buy,limit,99.82,99
9.500000,30,N10,buy,cancel,99.68,54
9.500000,89,N10,buy,market,,63
10.000000,90,N6,sell,market,,36
10.100000,91,N11,buy,limit,100.31,97
10.400000,92,N1,buy,market,,59
10.400000,93,N10,sell,limit,100.36,37
10.400000,94,CA,buy,limit,100.29,27
10.500000,95,N1,sell,limit,100.55,56
10.500000,96,N11,buy,limit,100.03,54
10.700000,62,N3,buy,cancel,99.97,87
10.700000,97,N3,buy,limit,100.05,86
10.700000,98,N10,buy,market,,18
10.800000,19,N3,buy,cancel,100.03,89
10.800000,99,N3,buy,market,,77
11.000000,100,N3,buy,market,,64
11.000000,101,N4,buy,market,,76
11.200000,102,N8,buy,limit,100.01,27
11.200000,103,N14,buy,limit,100.23,86
11.400000,73,N12,buy,cancel,100.28,29
11.400000,104,N12,buy,limit,100.28,65
11.500000,95,N1,sell,cancel,100.55,56
11.500000,105,N1,sell,limit,100.44,44
11.600000,106,N5,buy,limit,100.28,44
11.600000,94,CA,buy,cancel,100.29,27
11.600000,107,CA,buy,limit,100.23,25
11.700000,108,N8,buy,market,,91
11.700000,109,N14,buy,limit,100.18,39
11.800000,110,N2,sell,limit,100.47,29
11.800000,97,N3,buy,cancel,100.05,86
11.800000,111,N3,buy,limit,100.36,80
11.900000,85,N2,sell,cancel,100.47,11
11.900000,112,N2,buy,market,,57
11.900000,54,N7,buy,cancel,99.81,12
11.900000,113,N7,buy,market,,88
12.000000,114,N13,buy,limit,100.19,52
12.000000,82,MM,buy,cancel,100.27,80
12.000000,115,MM,buy,limit,100.34,80
12.000000,116,MM,sell,limit,100.44,80
12.100000,117,N0,buy,limit,100.39,14
12.100000,118,N12,buy,limit,100.33,54
12.200000,119,N5,buy,market,,85
12.400000,120,N1,buy,market,,48
12.400000,121,N3,buy,limit,100.34,91
12.600000,117,N0,buy,cancel,100.39,14
12.600000,122,N0,buy,market,,20
12.600000,114,N13,buy,cancel,100.19,52
12.600000,123,N13,buy,limit,100.26,85
12.700000,68,N9,buy,cancel,100.11,70
12.700000,124,N9,buy,limit,100.36,26
12.700000,125,N12,sell,limit,100.49,33
12.800000,126,N5,sell,market,,92
12.800000,127,N6,buy,market,,39
12.900000,128,N12,buy,limit,100.36,41
13.000000,129,N7,buy,limit,100.33,68
13.100000,121,N3,buy,cancel,100.34,91
13.100000,130,N3,buy,market,,87
13.200000,131,N6,sell,market,,43
13.300000,132,N1,buy,limit,100.39,10
13.300000,106,N5,buy,cancel,100.28,44
13.300000,133,N5,buy,limit,100.25,13
13.500000,107,CA,buy,cancel,100.23,25
13.500000,134,CA,buy,limit,100.30,63
13.700000,135,N6,sell,limit,100.54,23
13.700000,136,N7,sell,limit,100.65,12
13.900000,136,N7,sell,cancel,100.65,12
13.900000,137,N7,buy,limit,100.25,19
13.900000,134,CA,buy,cancel,100.30,63
13.900000,138,CA,buy,limit,100.49,98
14.000000,88,N6,buy,cancel,99.82,99
14.000000,139,N6,buy,limit,100.31,35
14.000000,140,N9,buy,limit,100.38,89
14.300000,141,N1,buy,limit,100.49,76
14.400000,142,N14,buy,market,,26
14.500000,143,N11,buy,market,,64
14.600000,144,N6,buy,limit,100.48,95
15.000000,115,MM,buy,cancel,100.34,80
15.000000,145,MM,buy,limit,100.53,80
15.000000,146,MM,sell,limit,100.63,80
15.100000,96,N11,buy,cancel,100.03,54
15.100000,147,N11,buy,market,,42
15.200000,102,N8,buy,cancel,100.01,27
15.200000,148,N8,buy,limit,100.56,17
15.300000,149,N0,buy,limit,100.55,52
15.300000,139,N6,buy,cancel,100.31,35
15.300000,150,N6,buy,limit,100.33,36
15.300000,137,N7,buy,cancel,100.25,19
15.300000,151,N7,buy,limit,100.53,82
15.300000,152,N10,buy,limit,100.46,67
15.300000,153,N11,buy,market,,39
