ts,buyer,seller,price,qty,aggressor,mid_at_trade
0.000000,N10,seed,100.05,77,buy,100.000000
0.100000,seed,N6,99.95,47,sell,99.995000
0.600000,seed,N8,99.95,16,sell,99.995000
0.900000,N0,MM,100.04,34,buy,99.995000
1.300000,N0,MM,100.04,13,buy,99.995000
1.300000,N3,MM,100.04,33,buy,99.995000
1.300000,N3,seed,100.05,23,buy,100.000000
1.300000,N3,N7,100.06,3,buy,100.005000
1.500000,N8,CA,100.03,81,sell,100.065000
1.700000,N11,N9,100.10,49,buy,100.075000
2.300000,N10,N9,100.10,20,buy,100.095000
3.000000,N5,N6,100.16,71,buy,100.140000
3.000000,N5,N7,100.83,17,buy,100.475000
3.200000,N10,N12,100.12,49,sell,100.145000
3.200000,N7,N12,100.09,6,sell,100.130000
3.500000,N7,N11,100.09,56,sell,100.130000
3.500000,MM,N11,100.07,3,sell,100.120000
3.500000,CA,MM,100.17,36,buy,100.120000
4.600000,MM,N5,100.07,40,sell,100.120000
4.900000,N11,N7,100.14,68,sell,100.155000
5.000000,N6,MM,100.17,44,buy,100.155000
5.000000,N6,N0,100.20,32,buy,100.170000
5.000000,N6,N9,100.25,3,buy,100.195000
5.300000,N11,N7,100.14,11,sell,100.195000
5.300000,N12,N7,100.10,11,sell,100.175000
5.300000,MM,N7,100.07,16,sell,100.160000
5.400000,MM,N6,100.07,21,sell,100.160000
5.400000,N13,N6,100.05,45,sell,100.150000
5.600000,N11,N1,100.08,35,sell,100.165000
5.600000,N13,N1,100.05,32,sell,100.150000
5.600000,N13,N4,100.05,13,sell,100.150000
5.600000,N8,N4,100.03,16,sell,100.140000
5.600000,N3,N4,100.03,6,sell,100.140000
6.700000,N5,N6,100.19,23,sell,100.220000
7.100000,N3,N9,100.25,22,buy,100.220000
7.100000,N3,N3,100.26,11,buy,100.225000
7.800000,N7,N3,100.26,30,buy,100.225000
7.800000,N7,MM,100.28,33,buy,100.235000
7.900000,N5,N7,100.19,28,sell,100.235000
7.900000,MM,N7,100.18,29,sell,100.230000
7.900000,N12,MM,100.28,47,buy,100.230000
8.400000,N1,N14,100.31,16,buy,100.295000
8.800000,N1,N8,100.32,55,sell,100.345000
9.200000,N10,N0,100.35,15,buy,100.335000
9.500000,N1,N0,100.35,21,buy,100.325000
9.500000,N10,N0,100.35,30,buy,100.325000
9.500000,N10,N4,100.37,33,buy,100.335000
10.000000,N14,N6,100.30,36,sell,100.335000
10.400000,N1,N4,100.37,34,buy,100.340000
10.400000,N1,N13,100.37,25,buy,100.340000
10.700000,N10,N10,100.36,18,buy,100.335000
10.800000,N3,N10,100.36,19,buy,100.335000
10.800000,N3,N13,100.37,36,buy,100.340000
10.800000,N3,MM,100.37,22,buy,100.340000
11.000000,N3,MM,100.37,58,buy,100.340000
11.000000,N3,N8,100.38,6,buy,100.345000
11.000000,N4,N8,100.38,8,buy,100.345000
11.000000,N4,N0,100.38,35,buy,100.345000
11.000000,N4,N6,100.40,11,buy,100.355000
11.000000,N4,N2,100.47,22,buy,100.390000
11.700000,N8,N1,100.44,44,buy,100.375000
11.700000,N8,N2,100.47,47,buy,100.390000
11.900000,N2,N2,100.47,29,buy,100.415000
12.200000,N5,MM,100.44,80,buy,100.415000
12.800000,N3,N5,100.36,80,sell,100.425000
12.800000,N9,N5,100.36,12,sell,100.425000
12.800000,N6,N12,100.49,33,buy,100.425000
13.200000,N9,N6,100.36,14,sell,
13.200000,N12,N6,100.36,29,sell,
14.400000,N14,N6,100.54,23,buy,100.515000
15.100000,N11,MM,100.63,42,buy,100.580000
15.300000,N11,MM,100.63,38,buy,100.595000
16.300000,N2,N4,100.59,21,sell,100.735000
16.300000,N8,N4,100.57,22,sell,100.725000
16.400000,N12,N11,100.88,10,buy,100.725000
17.300000,N14,N0,100.59,89,buy,100.580000
17.700000,N0,N1,100.67,70,buy,100.620000
18.000000,N8,N6,100.57,20,sell,100.620000
18.000000,N13,N6,100.57,27,sell,100.620000
18.000000,N8,N6,100.56,17,sell,100.615000
18.000000,CA,N6,100.56,15,sell,100.615000
18.000000,N0,MM,100.55,52,sell,100.555000
18.100000,N7,N8,100.53,30,sell,100.535000
18.100000,N11,MM,100.54,28,buy,100.535000
18.100000,N11,N6,100.56,12,buy,100.545000
18.100000,N11,N1,100.67,2,buy,100.600000
18.200000,N10,N1,100.67,20,buy,100.600000
18.200000,N10,N3,100.69,31,buy,100.610000
18.600000,N7,N6,100.53,23,sell,
19.400000,N7,N5,100.53,29,sell,
19.400000,N12,N5,100.52,21,sell,
19.400000,N9,N5,100.50,27,sell,
19.400000,N9,CB,100.50,43,sell,
19.400000,N12,CB,100.50,5,sell,
20.100000,N12,N13,100.50,23,sell,100.505000
20.700000,N12,N14,100.50,16,sell,100.505000
20.800000,N12,N10,100.50,17,sell,100.505000
20.800000,CA,N10,100.49,78,sell,100.500000
20.900000,CA,N13,100.49,20,sell,100.500000
20.900000,N1,N13,100.49,47,sell,100.500000
20.900000,N1,N14,100.49,29,sell,100.500000
20.900000,N6,N14,100.48,18,sell,100.495000
20.900000,N6,CB,100.48,61,sell,100.495000
21.000000,N6,N5,100.48,16,sell,100.495000
21.000000,N6,N5,100.44,7,sell,100.475000
21.100000,N1,N6,100.51,13,buy,100.475000
21.100000,N1,MM,100.51,74,buy,100.475000
21.100000,N6,N5,100.44,32,sell,100.475000
21.100000,N4,N5,100.44,12,sell,100.475000
21.400000,N4,N12,100.44,53,sell,100.455000
21.400000,N8,N12,100.43,29,sell,100.450000
21.500000,N8,N1,100.43,21,sell,100.450000
21.500000,N0,N1,100.42,28,sell,100.445000
21.500000,MM,N1,100.41,44,sell,100.440000
21.500000,MM,N6,100.41,36,sell,100.440000
21.500000,N1,N6,100.39,7,sell,100.430000
21.600000,N1,N10,100.39,3,sell,100.430000
21.600000,N2,N10,100.38,18,sell,100.425000
22.300000,N2,N10,100.38,12,sell,100.390000
22.300000,N12,N10,100.36,12,sell,100.380000
22.300000,N7,N10,100.34,20,sell,100.370000
22.500000,N7,N0,100.34,35,sell,100.370000
22.500000,N10,N0,100.34,10,sell,100.370000
22.500000,N10,N5,100.34,44,sell,100.370000
